40;;35;;30;;25;;20;;15;;10;;5;
-8.714198994;0;-7.499663267;0;-6.087175632;0;-4.697027945;0;-3.362727785;0;-2.19035165;0;-1.602299583;0;-1.08948535;0
-6.10092174;9.169464442;-6.791836023;4.417502714;-5.41809556;3;-2.347429993;10.76332532;-0.936308033;16.07285116;-0.922829461;13.10309121;-1.417637406;3.485228962;-0.891506656;3.287629067
-4.02363519;13.9233843;-4.547378873;10.37794231;-2.945074199;13.22228732;0.048774961;14.89129108;0.963064474;21.06164508;1.058495447;23.6940361;-0.817195111;11.79403159;-0.537507566;11.4359879
-1.905804213;17.43019423;-2.390189094;16.45643279;-0.505493091;18.72745352;2.366351848;20.10313121;2.664059278;26.63834195;3.262060386;30.71745008;0.191516281;19.76825899;-0.04754977;29.13980127
0.257256098;22.07057488;0.343073392;21.33880237;1.387427161;24.52721908;4.665751126;25.21829399;4.298405343;33.33315888;4.872532507;35.76184985;1.070232848;29.40585696;0.509838077;40.44280182
2.854603792;26.43000529;2.636750333;26.92864159;3.107926769;30.3057102;6.706220474;29.39816866;5.861772069;38.19508916;5.93374254;42.17470173;2.323825716;36.53275762;0.971419426;53.1932729
5.168827428;30.38929129;4.771316614;31.30781629;4.628490958;35.85568422;8.14297652;34.02291805;7.125075341;43.35761916;7.170514948;47.4323898;3.158077035;44.94227523;1.304706904;65.66247744
7.29188695;33.80994592;6.436083497;35.85164151;6.300394671;40.18202828;9.544729302;38.24756474;8.377768189;48.21583426;8.032374596;54.02586986;3.876610335;54.16582883;1.481368775;77.43371711
9.064962882;37.35926151;8.164877718;39.57788027;8.402543195;42.61740768;10.88837147;42.25181626;9.82634375;52.10775706;8.825633639;60.90249299;4.427142284;62.92919227;1.728163122;82.54575109
10.9648909;40.13138292;9.559078109;43.72563159;10.2754976;45.26348793;11.99849123;46.623975;11.39465389;55.2859674;9.338785833;68.79482281;4.669027092;71.48435314;1.543683086;91.79704249
12.41738319;43.59005804;10.94310799;47.59036964;12.55463467;46.43063545;13.3347677;50.21565551;13.06577669;57.83128915;9.396512703;73.65437008;4.823813396;80.38789616;1.488158999;101.3266621
13.84180092;46.86672573;12.24370542;51.48914919;14.60054118;47.996896;14.32649692;54.78020602;14.32602671;61.53359704;9.635355185;80.7742084;4.700135994;90.32347527;1.358784298;111.846978
15.36034311;49.69253214;13.40210509;55.7617456;16.72892293;49.15175881;15.40051127;59.17798858;15.35895426;66.32409803;9.580184714;89.08577482;4.424760879;98.88252704;0.96927991;125.5279694
16.55440195;53.26007842;14.61998848;59.83430934;18.80494229;50.28160784;16.17089173;63.82503605;15.92560595;71.21297623;9.435141527;95.53108888;3.935266065;107.7611921;0.500048474;138.5380473
17.77959346;56.7000308;15.64492367;64.90332436;19.98797565;53.69351986;16.79357998;68.93498577;16.22869543;76.56067722;9.008609236;99.76216855;3.408506709;116.2786526;0.175852023;153.6146937
19.06317601;59.94620358;16.66461689;69.54678253;21.01337297;57.08045852;16.76308746;72.7196379;16.34479638;81.439034;8.274810252;104.8590191;2.692434356;125.5306866;-0.039591688;164.6859461
20.11952436;64.09139378;17.28496203;74.5722799;22.14729181;60.46690419;17.28570707;77.50846548;16.17773596;86.16853313;7.303168354;112.5623627;1.858570327;135.126154;-0.316651346;176.16201
21.24912489;68.26266371;18.23044333;79.90293676;22.9413249;64.84873405;17.96415018;80.96011968;16.08550759;90.27056697;6.226178325;120.1730588;1.013789205;144.4623447;-0.191200053;180
22.146912;71.69837652;20.01163686;82.06341389;23.81166005;69.04861112;19.72465986;83.73134229;15.57671218;94.62253177;5.145202812;127.3093104;0.54342142;155.1739743;;
22.67232616;75.71106767;21.85428448;83.58893268;24.29619611;73.04412497;21.53559357;86.47669272;15.07121735;99.95427988;4.237298296;134.7013732;0.09418768;165.9591885;;
23.34840264;79.60383802;23.71613103;84.95910101;24.55519014;76.45561887;23.40856163;89.07275849;14.43617407;104.3379435;3.115241264;141.4991155;-0.138607449;177.2857733;;
23.77826374;81.57774095;25.59398554;86.21002662;24.98825469;80.12247365;24.63268519;90.57130918;13.34684619;109.9193121;2.066132214;149.0533879;-0.063856883;180;;
23.87381579;85.32059923;27.4865874;87.34650499;25.04834359;85.62325952;24.06418651;94.47819559;12.20557832;115.7323378;1.267070721;157.9080639;;;;
24.28066554;90.27894829;29.393173;88.33762542;24.73931491;88.22770381;23.5563524;97.95619205;11.04345693;120.8953356;0.722062476;167.8138186;;;;
24.32117133;92.9609271;31.31025133;89.24756239;24.98343966;89.88837242;22.98379411;101.2928652;9.960559538;126.1874462;0.364794534;180;;;;
24.09146578;94.9545085;33.14910682;90.34070869;24.67311613;91.67916022;22.26679795;104.7391365;8.952769018;131.6558055;;;;;;
24.28045602;100.3983426;33.12083032;93.18931024;24.29270578;94.55541165;21.11713721;109.0755741;7.74860582;136.5195479;;;;;;
26.53834291;102.6118764;32.73602898;95.75066895;24.15546184;100.5496277;19.9672308;113.154185;6.619404738;141.8657544;;;;;;
28.79547674;104.368731;32.48609648;98.79901458;22.42805264;106.5611067;18.8476317;117.4090509;5.484348518;147.5419349;;;;;;
31.13244374;106.1646377;32.03927443;101.3951144;21.79873326;110.04115;17.68549781;121.2604958;4.349846482;153.7134866;;;;;;
33.38714031;107.2635782;31.16281728;104.4372417;23.4734265;114.2019255;16.49300153;124.9195503;3.225244953;160.5855745;;;;;;
35.72300097;108.5092683;30.48043277;107.4157206;24.84202432;116.991572;15.37248631;128.7811406;2.054546827;168.357118;;;;;;
38.08358545;109.8391465;29.6607956;110.9736177;26.47162145;120.387652;14.13901782;132.3641158;0.853876771;180;;;;;;
39.64896352;110.1951695;28.49089878;114.2624918;25.53369898;123.0211902;12.92838021;136.1242466;;;;;;;;
38.50110733;112.2882256;27.45096138;117.7357583;24.36718455;125.8602559;11.70991862;140.0285705;;;;;;;;
37.51567522;114.733763;26.40298773;120.9941705;23.23369049;128.7696932;10.53155846;144.2349041;;;;;;;;
36.48872952;117.5566765;25.20677617;123.7755936;21.98834941;131.4651351;9.243970189;148.5066611;;;;;;;;
35.49851023;120.3258271;24.07486284;126.6922751;20.68005311;134.1043416;7.98425;153.2169931;;;;;;;;
34.31203699;122.5939771;23.13167329;130.1213505;18.06616838;140.4209102;6.602510593;158.245016;;;;;;;;
33.14827778;124.8873968;23.86003233;133.2515661;16.80289535;143.2718276;5.185023633;163.9431033;;;;;;;;
32.07146344;127.3307703;24.4312597;135.3137142;15.43094664;146.3641734;3.803126301;170.6529502;;;;;;;;
31.06952026;129.8897372;25.8035292;139.7437695;14.13373525;149.7919267;2.33661698;180;;;;;;;;
29.82090518;132.0426486;24.82959791;141.9646407;12.66068247;153.2511088;;;;;;;;;;
28.57616364;134.246784;23.41688317;144.2555952;11.19974594;157.0866396;;;;;;;;;;
27.32264513;136.6338464;22.0818327;146.7697788;9.657471757;161.2853462;;;;;;;;;;
26.30412328;139.1354316;20.82021149;149.5059682;7.818953462;165.8376097;;;;;;;;;;
25.07906488;141.551106;19.22504691;152.0447516;5.982459143;171.3338917;;;;;;;;;;
23.70766743;143.8725827;17.60672791;154.7873723;4.088291686;178.1658445;;;;;;;;;;
22.34275652;146.3246007;16.04407908;157.8533911;3.525842751;180;;;;;;;;;;
21.01444215;148.9583162;14.4287156;161.1934598;;;;;;;;;;;;
19.53232216;151.585759;12.37655996;164.3877399;;;;;;;;;;;;
17.88825067;154.2570427;10.1474946;169.0949943;;;;;;;;;;;;
16.29703552;157.2451306;8.355679001;173.3958558;;;;;;;;;;;;
14.69547307;160.5364192;6.232027757;178.6861213;;;;;;;;;;;;
12.67941719;163.906362;5.705835199;180;;;;;;;;;;;;
10.66241958;167.8678862;;;;;;;;;;;;;;
9.062081072;172.7888145;;;;;;;;;;;;;;
7.870082502;178.5950314;;;;;;;;;;;;;;
7.50015306;180;;;;;;;;;;;;;;
