;0;5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125;130;135;140;145;150;155;160;165;170;175;180;185;190;195;200;205;210;215;220;225;230;235;240;245;250;255;260;265;270;275;280;285;290;295;300;305;310;315;320;325;330;335;340;345;350;355
0;2.41E-05;2.36E-05;2.54E-05;2.75E-05;2.68E-05;2.49E-05;2.46E-05;2.52E-05;2.64E-05;2.74E-05;2.60E-05;2.45E-05;2.63E-05;2.87E-05;2.67E-05;2.33E-05;2.35E-05;2.64E-05;2.85E-05;2.88E-05;2.99E-05;3.14E-05;3.20E-05;3.16E-05;3.10E-05;3.22E-05;3.39E-05;3.45E-05;3.33E-05;3.22E-05;3.23E-05;3.12E-05;3.20E-05;3.49E-05;3.49E-05;3.38E-05;3.51E-05;3.62E-05;3.54E-05;3.53E-05;3.70E-05;3.64E-05;3.32E-05;3.23E-05;3.30E-05;3.26E-05;3.19E-05;3.16E-05;3.25E-05;3.42E-05;3.47E-05;3.35E-05;3.27E-05;3.32E-05;3.30E-05;3.17E-05;3.03E-05;3.14E-05;3.16E-05;2.91E-05;2.86E-05;2.92E-05;2.80E-05;2.70E-05;2.67E-05;2.51E-05;2.34E-05;2.33E-05;2.50E-05;2.66E-05;2.65E-05;2.54E-05
1;4.98E-05;4.89E-05;4.88E-05;4.99E-05;4.92E-05;4.71E-05;4.49E-05;4.51E-05;4.75E-05;4.92E-05;4.91E-05;4.76E-05;4.78E-05;5.00E-05;4.92E-05;4.73E-05;4.87E-05;5.26E-05;5.49E-05;5.36E-05;5.45E-05;5.72E-05;6.00E-05;6.40E-05;6.63E-05;6.85E-05;7.09E-05;7.13E-05;7.13E-05;7.32E-05;7.57E-05;7.67E-05;7.83E-05;8.20E-05;8.39E-05;8.52E-05;8.76E-05;8.78E-05;8.63E-05;8.57E-05;8.54E-05;8.20E-05;7.96E-05;8.19E-05;8.34E-05;8.29E-05;8.42E-05;8.52E-05;8.30E-05;7.99E-05;7.93E-05;7.80E-05;7.17E-05;6.74E-05;6.83E-05;6.92E-05;7.05E-05;7.32E-05;7.09E-05;6.44E-05;6.04E-05;5.80E-05;5.67E-05;5.72E-05;5.69E-05;5.48E-05;5.20E-05;5.14E-05;5.37E-05;5.47E-05;5.26E-05;5.04E-05
2;8.35E-05;8.12E-05;7.79E-05;7.77E-05;7.97E-05;7.91E-05;7.41E-05;7.06E-05;7.10E-05;7.34E-05;7.46E-05;7.23E-05;7.16E-05;7.41E-05;7.59E-05;7.77E-05;8.02E-05;8.33E-05;8.51E-05;8.49E-05;8.90E-05;9.49E-05;9.93E-05;0.000106038;0.000112895;0.000118929;0.000123278;0.000125788;0.000132484;0.000141556;0.000149305;0.000155649;0.000158017;0.000159464;0.00016288;0.000166879;0.000169282;0.000169725;0.00017104;0.000172965;0.000174634;0.000174093;0.000171713;0.000169616;0.00016979;0.000173661;0.000177442;0.00017688;0.000171249;0.000162964;0.000156614;0.000150379;0.000139839;0.000133004;0.00013227;0.000132208;0.000133751;0.000134827;0.000128907;0.000118553;0.000112151;0.000108267;0.000105287;0.000103897;0.000103039;0.000101191;9.44E-05;8.94E-05;9.03E-05;9.06E-05;8.82E-05;8.48E-05
3;0.000112969;0.000108009;0.000102636;0.000101118;0.000104369;0.000105589;9.99E-05;9.42E-05;9.26E-05;9.33E-05;9.31E-05;9.17E-05;9.16E-05;9.21E-05;9.51E-05;0.000100701;0.000103733;0.000105832;0.000109827;0.000116064;0.000124371;0.00013247;0.00014255;0.000153218;0.000160214;0.000167739;0.000177213;0.000188341;0.000206107;0.000226198;0.000241961;0.000255062;0.000262746;0.000267011;0.000273879;0.000280594;0.000287768;0.000297501;0.000304189;0.000306913;0.000313536;0.000321117;0.000317774;0.000305676;0.000303709;0.000313112;0.000313596;0.000303415;0.000293238;0.000281337;0.000265262;0.000250092;0.000238115;0.000231482;0.00022639;0.000217851;0.000210075;0.000205214;0.000197201;0.000183389;0.000172531;0.000166338;0.000162479;0.00015676;0.000150306;0.00014811;0.000139011;0.000128498;0.000126619;0.000125281;0.00012207;0.000117413
4;0.000131744;0.000126841;0.000121517;0.000118295;0.000115884;0.000113206;0.000110899;0.000110324;0.000109798;0.000107076;0.00010332;0.000103861;0.000107762;0.000109045;0.000110253;0.00011433;0.000117681;0.000121275;0.000130656;0.000143878;0.00015372;0.000165524;0.000185109;0.000200072;0.000208922;0.000221196;0.000237658;0.000260531;0.00029043;0.000322689;0.000350986;0.000376124;0.000401517;0.000423174;0.00043889;0.000452374;0.000471582;0.000498596;0.000517764;0.000521161;0.000531282;0.000545032;0.000537198;0.000520945;0.000516558;0.000518259;0.000509963;0.000487243;0.000461878;0.000438546;0.000414251;0.000393521;0.000375979;0.000362132;0.000347502;0.000324298;0.000301658;0.00028551;0.000270656;0.000253403;0.000237402;0.00022552;0.000219061;0.000209609;0.000197696;0.000192304;0.000180579;0.000166759;0.000160737;0.000152858;0.000142322;0.000135297
5;0.000143102;0.000140028;0.000135058;0.000130566;0.000121766;0.000111612;0.000110383;0.000115942;0.000118493;0.000114537;0.000108647;0.000110016;0.000117744;0.000123245;0.000125335;0.000128127;0.00013191;0.000138333;0.000152763;0.000168922;0.00018033;0.00019809;0.000223698;0.000244335;0.000264732;0.000291214;0.000319953;0.000357401;0.000404388;0.00045215;0.000495558;0.00053871;0.000591649;0.000646069;0.00068545;0.000716001;0.00075494;0.000801818;0.000835313;0.00084402;0.000854896;0.000869242;0.000857788;0.00083874;0.000828317;0.000813512;0.000790223;0.000752088;0.000704949;0.000661675;0.000621449;0.000585731;0.000551439;0.000518479;0.000483975;0.000442455;0.000405988;0.000375197;0.000344436;0.000317717;0.000297648;0.000283786;0.000271979;0.000255163;0.000239638;0.000229899;0.00021609;0.000200105;0.000184578;0.000167529;0.000151753;0.000143905
6;0.000150901;0.000149968;0.000145516;0.000137874;0.000128512;0.000118807;0.000115645;0.000119401;0.000122909;0.000120816;0.000115739;0.000115678;0.000122227;0.000130549;0.00013765;0.000143983;0.000149723;0.000159602;0.000179025;0.000199543;0.000214533;0.000234534;0.000264231;0.000297296;0.000334699;0.000381507;0.00043536;0.000496134;0.000567847;0.000640606;0.00070751;0.000780191;0.000862594;0.000947663;0.001024415;0.001087884;0.001155314;0.001227813;0.001276277;0.001296873;0.001313016;0.001325037;0.001317934;0.001299358;0.00127846;0.001244194;0.001190422;0.001118154;0.00103954;0.000968525;0.000896643;0.000819644;0.000746711;0.000681814;0.000620465;0.0005614;0.000512559;0.000469845;0.000423644;0.000381343;0.000353064;0.000333966;0.00031489;0.000294412;0.000276832;0.000260858;0.000243725;0.000224642;0.000201691;0.000181036;0.000166132;0.000155408
7;0.000158669;0.00015594;0.00015079;0.000141689;0.00013386;0.000128108;0.000124278;0.000123062;0.000124104;0.000123777;0.000121686;0.000119428;0.00012241;0.000132891;0.00014414;0.000153694;0.000163469;0.000177308;0.000198174;0.0002234;0.000247502;0.000272948;0.000309553;0.000359101;0.000417818;0.000488685;0.000573249;0.000663848;0.000764184;0.000873028;0.000985239;0.001105028;0.001217783;0.001324261;0.00144057;0.001556267;0.001668404;0.001778183;0.001859819;0.001906915;0.001938204;0.00195854;0.001960561;0.00194169;0.001901167;0.001833165;0.001739785;0.001620711;0.001485645;0.00135767;0.001228604;0.001089683;0.000963398;0.000859472;0.000768749;0.000689986;0.000625725;0.000567952;0.000507926;0.000451986;0.000408067;0.000372441;0.000345948;0.000327236;0.000308496;0.000285915;0.00026133;0.000239837;0.000219913;0.000200424;0.00018357;0.000168521
8;0.000163064;0.000153072;0.000142169;0.000133818;0.000128328;0.000124293;0.000121349;0.000120789;0.00012151;0.000121424;0.000122435;0.000121485;0.000121917;0.000130326;0.000142456;0.00015542;0.000170731;0.000187785;0.000205854;0.000232025;0.000268618;0.000307148;0.000352812;0.000417692;0.000497502;0.000588946;0.000699287;0.000819925;0.000956259;0.001118059;0.001286289;0.001447415;0.001598094;0.001749211;0.001920263;0.002106048;0.002285413;0.002446376;0.002574236;0.002655167;0.002700207;0.002736122;0.002754111;0.002731391;0.002661738;0.002544518;0.002392329;0.00220479;0.001997275;0.001797543;0.00159028;0.001379517;0.001202711;0.001061702;0.000935637;0.000824203;0.000735873;0.000658396;0.000582277;0.000515273;0.000458986;0.000409381;0.000372246;0.000344988;0.000319724;0.000295016;0.000268278;0.000243681;0.000225174;0.000207663;0.000188288;0.000173112
9;0.000156626;0.000143903;0.000130217;0.000123154;0.000118155;0.000112598;0.000109525;0.000110591;0.000111629;0.000111308;0.000113487;0.000116859;0.000119625;0.00012462;0.000135718;0.000150805;0.000167057;0.000185384;0.000206665;0.000236471;0.000279615;0.000326928;0.000379328;0.000457411;0.000556057;0.000664425;0.000795865;0.000950534;0.001135052;0.001350607;0.001568309;0.001774515;0.001983548;0.002211664;0.002457392;0.002718246;0.002974669;0.003193185;0.003359626;0.003459748;0.003506662;0.003548411;0.003585071;0.00356874;0.003470567;0.003294448;0.003051258;0.002757995;0.002461605;0.002187097;0.001912687;0.001646491;0.001422131;0.001243646;0.0010852;0.000942746;0.000832254;0.000734288;0.00063814;0.000562283;0.000502264;0.000442906;0.000390747;0.000349513;0.000316484;0.000289853;0.000262771;0.000235203;0.000214905;0.000199139;0.000179992;0.000165187
10;0.000141307;0.000131073;0.000122322;0.000118134;0.000109701;0.000100785;9.80E-05;9.82E-05;9.69E-05;9.62E-05;9.87E-05;0.00010238;0.00010746;0.000114665;0.000125876;0.000139881;0.000154141;0.000171857;0.000198631;0.000235356;0.000279642;0.000328408;0.00038901;0.000481708;0.000599949;0.000731192;0.000888729;0.00107997;0.001304544;0.001551186;0.001809237;0.00208056;0.002366028;0.002666634;0.002978629;0.003305556;0.003619146;0.003873441;0.004068832;0.004191158;0.004247992;0.004301889;0.004346094;0.004308958;0.0041722;0.003944889;0.003618066;0.003227026;0.002831607;0.002466451;0.002143485;0.001846768;0.001576773;0.001361145;0.001179943;0.001020261;0.000895573;0.000779979;0.00067042;0.000589009;0.000522342;0.000454595;0.000394461;0.000345391;0.000306366;0.00027492;0.000244488;0.000217201;0.000197729;0.000181349;0.000162936;0.00014906
11;0.000119975;0.000111283;0.000103947;9.89E-05;9.00E-05;8.34E-05;8.38E-05;8.56E-05;8.44E-05;8.40E-05;8.63E-05;8.68E-05;9.00E-05;9.97E-05;0.000110939;0.000123077;0.000138306;0.000156555;0.000184983;0.000225818;0.000270782;0.000320909;0.000390369;0.00049444;0.000626092;0.000779895;0.000968423;0.001185951;0.001425234;0.001691054;0.001988988;0.002317136;0.002658972;0.003006172;0.003372156;0.003763288;0.00411081;0.004364075;0.004565902;0.004710543;0.004783637;0.004849579;0.004890757;0.004816119;0.004637717;0.004367788;0.003980856;0.003527891;0.00306877;0.002642421;0.002279633;0.001958015;0.001664581;0.001425138;0.001222078;0.001045871;0.000905478;0.000778134;0.000667092;0.000578836;0.00049988;0.000430778;0.000375555;0.000328213;0.000285902;0.000250664;0.000218172;0.000189387;0.000168775;0.000152682;0.000137062;0.000126183
12;9.54E-05;8.78E-05;7.83E-05;7.13E-05;6.65E-05;6.43E-05;6.72E-05;7.06E-05;7.07E-05;7.08E-05;7.15E-05;7.15E-05;7.45E-05;8.16E-05;8.99E-05;0.000101932;0.000118709;0.000137484;0.000166208;0.000207384;0.000253013;0.000305701;0.000378365;0.000487341;0.000625865;0.000783374;0.000978839;0.001207037;0.00145291;0.001740636;0.002080325;0.0024396;0.002800325;0.003183708;0.003601698;0.004034511;0.004404083;0.00465346;0.004835249;0.004975656;0.005052817;0.005097234;0.005108155;0.005024081;0.004827515;0.004507667;0.004069853;0.003586549;0.00311562;0.002687444;0.002310677;0.001972173;0.001677396;0.001431658;0.001213815;0.001024726;0.000870876;0.000734015;0.000620073;0.00052576;0.000441748;0.000376216;0.000328136;0.000288268;0.000249417;0.000215444;0.000184197;0.000155009;0.000134768;0.000121439;0.000109865;0.000101093
13;7.26E-05;6.70E-05;5.95E-05;5.42E-05;5.13E-05;5.00E-05;5.23E-05;5.43E-05;5.35E-05;5.29E-05;5.34E-05;5.40E-05;5.54E-05;5.83E-05;6.55E-05;7.93E-05;9.53E-05;0.000111822;0.000136958;0.000173135;0.000217874;0.000273812;0.000346223;0.000454859;0.000592295;0.000734126;0.000912709;0.001140194;0.001389091;0.001684402;0.002037026;0.002403348;0.00277076;0.003161865;0.003577349;0.003992185;0.004355332;0.004608844;0.00478351;0.004922224;0.005003133;0.00502359;0.004986398;0.004871707;0.004655316;0.004316462;0.003869851;0.003387161;0.002932648;0.002535647;0.002183701;0.001858181;0.001582548;0.0013489;0.001128469;0.000936194;0.000780589;0.000645643;0.000536174;0.000447488;0.000370715;0.000311491;0.000266101;0.000228423;0.000195616;0.000168569;0.000143073;0.00011913;0.000102756;9.16E-05;8.33E-05;7.74E-05
14;5.31E-05;4.97E-05;4.62E-05;4.29E-05;3.93E-05;3.82E-05;3.94E-05;3.93E-05;3.80E-05;3.76E-05;3.90E-05;3.99E-05;3.84E-05;3.89E-05;4.63E-05;5.90E-05;7.15E-05;8.42E-05;0.000102724;0.000129542;0.000169656;0.000224994;0.000292191;0.00038711;0.000503262;0.000623363;0.00078514;0.001000758;0.001240136;0.001512742;0.0018288;0.002175548;0.002535511;0.002878196;0.003210086;0.003559366;0.003882874;0.004125798;0.004307105;0.004436437;0.004506476;0.004528829;0.004479222;0.004322575;0.00408062;0.003774281;0.003374891;0.002926614;0.002517491;0.002173849;0.001877323;0.001609083;0.001380612;0.001174368;0.000967802;0.000785614;0.000641361;0.000524592;0.000432083;0.000357212;0.000293154;0.000243255;0.00020336;0.000168253;0.00014089;0.000120959;0.000103523;8.73E-05;7.38E-05;6.38E-05;5.78E-05;5.50E-05
15;3.60E-05;3.49E-05;3.40E-05;3.11E-05;2.78E-05;2.75E-05;2.83E-05;2.80E-05;2.72E-05;2.70E-05;2.82E-05;2.97E-05;2.90E-05;2.89E-05;3.45E-05;4.39E-05;5.17E-05;5.93E-05;7.30E-05;9.34E-05;0.000124664;0.000169135;0.000223627;0.00029471;0.000380603;0.000482684;0.000625245;0.000811752;0.001021846;0.001250984;0.001504364;0.001789132;0.002093427;0.002367051;0.002610566;0.002880486;0.003144023;0.003346232;0.003491743;0.003575246;0.003619132;0.003642009;0.003597919;0.003444829;0.00322064;0.00296168;0.00263734;0.00228125;0.001961285;0.001689154;0.001462911;0.001269055;0.001091164;0.000919147;0.000752752;0.00060769;0.000490787;0.000396375;0.000318921;0.000257379;0.000210062;0.000173523;0.000143997;0.000117102;9.48E-05;7.95E-05;6.89E-05;5.96E-05;4.95E-05;4.21E-05;3.90E-05;3.75E-05
16;2.31E-05;2.43E-05;2.45E-05;2.17E-05;1.92E-05;1.84E-05;1.87E-05;1.93E-05;1.84E-05;1.72E-05;1.80E-05;1.97E-05;2.02E-05;2.09E-05;2.51E-05;3.12E-05;3.54E-05;3.99E-05;5.06E-05;6.63E-05;8.83E-05;0.000120143;0.000157685;0.000202853;0.000265459;0.000350797;0.000464231;0.000610347;0.0007759;0.00095035;0.001136302;0.001334681;0.001548137;0.0017564;0.00194399;0.002143114;0.002337654;0.002468999;0.002540066;0.002581719;0.002609558;0.002609665;0.002557902;0.00244223;0.002270035;0.002061455;0.001825141;0.001583714;0.001365983;0.001179162;0.001022035;0.000889156;0.000766174;0.000642422;0.000525804;0.000427236;0.000344201;0.000273571;0.000212512;0.00016487;0.000133864;0.000110654;9.16E-05;7.47E-05;5.97E-05;4.89E-05;4.20E-05;3.69E-05;3.03E-05;2.54E-05;2.45E-05;2.39E-05
17;1.37E-05;1.52E-05;1.53E-05;1.34E-05;1.18E-05;1.09E-05;1.10E-05;1.12E-05;1.01E-05;9.18E-06;1.02E-05;1.17E-05;1.21E-05;1.33E-05;1.61E-05;1.96E-05;2.28E-05;2.70E-05;3.40E-05;4.37E-05;5.86E-05;8.19E-05;0.000106394;0.000130616;0.000171079;0.000230673;0.00030684;0.000411783;0.000537332;0.000660216;0.000780294;0.00090514;0.001040546;0.001181622;0.001315988;0.00145356;0.001574237;0.001638604;0.001668339;0.001699357;0.001719846;0.001697939;0.001642186;0.0015616;0.001434535;0.001278051;0.001122448;0.000970589;0.000835779;0.000727692;0.000631733;0.000547295;0.000476531;0.000405726;0.000334169;0.000270532;0.000216591;0.000171568;0.000131035;9.76E-05;7.61E-05;6.07E-05;4.93E-05;4.16E-05;3.48E-05;2.84E-05;2.39E-05;2.12E-05;1.75E-05;1.39E-05;1.28E-05;1.30E-05
18;6.43E-06;6.96E-06;7.03E-06;6.11E-06;5.17E-06;4.83E-06;5.04E-06;5.26E-06;4.86E-06;4.85E-06;6.05E-06;7.16E-06;7.81E-06;8.72E-06;9.88E-06;1.14E-05;1.40E-05;1.72E-05;2.10E-05;2.63E-05;3.47E-05;4.99E-05;6.74E-05;8.19E-05;0.000103131;0.000135007;0.000178258;0.000244283;0.000330635;0.000413769;0.000485554;0.000558513;0.000640245;0.000725043;0.000810177;0.000897958;0.000964046;0.000993466;0.001012206;0.001031782;0.001038606;0.001016448;0.000970367;0.000912883;0.000827892;0.000722953;0.000626331;0.000540561;0.000464592;0.000399708;0.000342203;0.000293624;0.000255286;0.000221626;0.000187433;0.000152591;0.000121978;9.59E-05;7.10E-05;5.06E-05;3.77E-05;2.93E-05;2.32E-05;1.96E-05;1.65E-05;1.30E-05;1.10E-05;1.02E-05;9.46E-06;7.86E-06;6.32E-06;6.07E-06
19;2.35E-06;2.55E-06;2.86E-06;2.66E-06;2.16E-06;1.77E-06;1.57E-06;2.00E-06;2.50E-06;2.85E-06;3.69E-06;4.67E-06;5.47E-06;5.83E-06;5.84E-06;6.00E-06;7.13E-06;9.03E-06;1.11E-05;1.38E-05;1.78E-05;2.69E-05;3.83E-05;4.69E-05;5.72E-05;7.23E-05;9.42E-05;0.000129469;0.000179845;0.000233806;0.000279353;0.000321274;0.000367634;0.000416082;0.0004646;0.000515415;0.000557007;0.00057521;0.000583911;0.000589197;0.000582535;0.000565276;0.000535151;0.000496657;0.000447989;0.00038792;0.000331986;0.000284214;0.000239479;0.000197687;0.000162133;0.000135431;0.000116255;0.000101739;8.87E-05;7.38E-05;5.77E-05;4.25E-05;2.91E-05;1.99E-05;1.57E-05;1.38E-05;1.09E-05;8.35E-06;6.44E-06;4.92E-06;4.51E-06;4.87E-06;5.48E-06;4.88E-06;3.16E-06;2.36E-06
20;9.00E-07;8.62E-07;1.03E-06;1.19E-06;1.13E-06;9.37E-07;6.42E-07;6.75E-07;9.67E-07;1.22E-06;1.84E-06;2.76E-06;3.13E-06;2.94E-06;2.98E-06;3.21E-06;3.55E-06;4.17E-06;4.82E-06;5.80E-06;8.73E-06;1.49E-05;2.08E-05;2.40E-05;2.86E-05;3.55E-05;4.41E-05;6.00E-05;8.74E-05;0.000120697;0.000150224;0.000176637;0.000203394;0.000229261;0.000252325;0.000277237;0.000302654;0.000315104;0.00032012;0.000323159;0.000317296;0.000305917;0.000286842;0.000260049;0.000230352;0.00019787;0.00016743;0.000138405;0.000110568;8.87E-05;7.17E-05;5.84E-05;4.90E-05;4.24E-05;3.71E-05;3.04E-05;2.22E-05;1.45E-05;9.06E-06;6.58E-06;6.43E-06;6.37E-06;4.90E-06;3.59E-06;2.69E-06;1.98E-06;2.17E-06;2.85E-06;3.44E-06;2.98E-06;1.56E-06;8.85E-07
21;6.38E-07;4.13E-07;2.37E-07;2.45E-07;2.52E-07;2.52E-07;2.52E-07;2.50E-07;2.16E-07;2.31E-07;5.96E-07;1.13E-06;1.21E-06;1.20E-06;1.59E-06;1.99E-06;1.93E-06;1.68E-06;1.69E-06;2.14E-06;4.07E-06;7.60E-06;1.03E-05;1.15E-05;1.30E-05;1.52E-05;1.79E-05;2.41E-05;3.68E-05;5.40E-05;7.15E-05;8.82E-05;0.000103343;0.000114856;0.000124299;0.000135596;0.000148026;0.000154577;0.00015614;0.00015792;0.000158394;0.000154594;0.00014327;0.000126449;0.000109408;9.38E-05;7.84E-05;6.16E-05;4.70E-05;3.65E-05;2.86E-05;2.33E-05;1.97E-05;1.68E-05;1.40E-05;1.12E-05;8.32E-06;5.22E-06;2.70E-06;1.95E-06;2.34E-06;2.29E-06;1.62E-06;1.32E-06;1.09E-06;6.35E-07;7.24E-07;1.34E-06;1.84E-06;1.64E-06;8.77E-07;5.83E-07
22;4.82E-07;3.48E-07;1.17E-07;1.26E-08;0;2.10E-09;3.77E-08;7.55E-08;4.61E-08;1.05E-08;7.76E-08;1.93E-07;2.52E-07;3.67E-07;5.24E-07;6.12E-07;5.47E-07;3.80E-07;5.73E-07;1.00E-06;1.55E-06;2.84E-06;4.21E-06;4.68E-06;4.55E-06;4.94E-06;6.64E-06;9.73E-06;1.42E-05;2.07E-05;2.90E-05;3.74E-05;4.41E-05;4.88E-05;5.31E-05;5.75E-05;6.13E-05;6.32E-05;6.34E-05;6.50E-05;6.77E-05;6.73E-05;6.29E-05;5.64E-05;4.95E-05;4.39E-05;3.67E-05;2.70E-05;1.98E-05;1.46E-05;1.01E-05;7.94E-06;6.85E-06;5.37E-06;3.99E-06;3.30E-06;2.93E-06;1.98E-06;7.28E-07;2.35E-07;3.48E-07;4.05E-07;2.79E-07;2.91E-07;3.54E-07;2.01E-07;2.22E-07;5.39E-07;7.26E-07;6.73E-07;4.91E-07;4.30E-07
23;2.12E-07;1.34E-07;5.24E-08;6.29E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;1.47E-08;2.66E-07;5.75E-07;5.89E-07;1.13E-06;2.02E-06;2.00E-06;1.38E-06;1.39E-06;2.49E-06;3.90E-06;4.98E-06;6.86E-06;1.03E-05;1.35E-05;1.61E-05;1.91E-05;2.17E-05;2.27E-05;2.26E-05;2.32E-05;2.45E-05;2.58E-05;2.69E-05;2.65E-05;2.53E-05;2.43E-05;2.24E-05;1.98E-05;1.60E-05;1.15E-05;8.13E-06;5.97E-06;4.35E-06;3.33E-06;2.59E-06;1.88E-06;1.25E-06;9.19E-07;7.59E-07;4.91E-07;2.06E-07;6.08E-08;4.40E-08;7.97E-08;1.24E-07;1.95E-07;1.68E-07;6.29E-08;8.18E-08;1.55E-07;1.70E-07;2.06E-07;2.45E-07;2.50E-07
24;4.61E-08;6.29E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.19E-09;7.55E-08;1.66E-07;4.11E-07;1.53E-06;2.37E-06;1.58E-06;6.71E-07;9.40E-07;1.71E-06;1.83E-06;1.63E-06;2.89E-06;5.23E-06;6.91E-06;8.71E-06;1.23E-05;1.52E-05;1.55E-05;1.51E-05;1.56E-05;1.73E-05;1.83E-05;1.72E-05;1.51E-05;1.43E-05;1.48E-05;1.34E-05;1.02E-05;8.01E-06;6.73E-06;4.93E-06;3.60E-06;3.01E-06;2.28E-06;1.77E-06;1.43E-06;1.24E-06;1.18E-06;6.61E-07;2.35E-07;2.33E-07;1.38E-07;1.89E-08;2.10E-09;3.77E-08;7.55E-08;4.61E-08;6.29E-09;0;6.29E-09;1.13E-07;2.29E-07;1.76E-07;9.44E-08
25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
